Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
NIST 800-53r5: Introduction to Security and Privacy Controls,"<p>NIST SP 800-53 Rev. 5 provides guidance on establishing collaboration between security and privacy programs for selecting and implementing controls. In this course, designed by industry-leading cybersecurity professional development platform Cybrary,  explore the essentials of the security and privacy controls covered in NIST 800-53 Rev. 5, including how to work control families, the anatomy of a control, control selection, control types, organizational variables, system security planning, and control assessment.</p><p>Note: This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2026-05-21 16:08 UTC,N/A,false,N/A,
DevOps Foundations: Continuous Delivery/Continuous Integration,"<p>Continuous delivery is one of the major DevOps practice areas. By continuously building, testing, and delivering your code, you can reap huge stability, speed, and flexibility benefits. In this course, learn about continuous integration and continuous delivery (CI/CD), and see how these concepts work in practice by constructing your own build pipeline. Throughout this course, instructors James Wickett and Ernest Mueller discuss elements of the pipeline as they show how to take an app written in the Golang programming language from development to production. They walk through version control, building artifacts, unit testing, and deployment, demonstrating common practices and tools along the way. They conclude with some practical advice on CI/CD best practices and common pitfalls, workarounds, and compromises that you may encounter on your journey to continuous delivery.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/devops-professional-certificate-by-pagerduty-and-linkedin?u=104"" target=""_blank"">Professional Certificate</a> from PagerDuty.</p>",Course,2025-07-30 13:17 UTC,N/A,false,N/A,
Excel: VLOOKUP and XLOOKUP for Beginners (2021),"Many Excel users hear “VLOOKUP” and envision a complicated function reserved only for power users. Not so! VLOOKUP—and XLOOKUP, the newer version for 365 subscribers—are among Excel’s most powerful functions, yet you can master them with a few simple steps. In this mini-course, Jess Stratton walks you step-by-step through creating a simple lookup in Excel using both VLOOKUP and XLOOKUP, then shows you how to error-proof your formulas. Supercharge your Excel skills and save time with these powerful lookup functions.",Course,2021-09-15 13:39 UTC,N/A,false,N/A,
DevOps Foundations: Infrastructure as Code,"<p>Infrastructure automation—transitioning an organization's system administration from hardware into code—is one of the major DevOps practice areas. By automating configuration management, you can make your systems more reliable, processes more repeatable, and server provisioning more efficient. In this course, learn the basics of infrastructure as code (IaC), including how to keep your configuration in a source code repository and have it built and deployed just like an application.
 </p><p>
Discover how to approach converting your systems over to becoming fully automated—from server configuration to application installation to runtime orchestration. Join notable DevOps practitioners Ernest Mueller and James Wickett as they dive into key concepts, and use a wide variety of tools to illustrate those concepts, including Ansible, Terraform, Docker, Kubernetes, Serverless, and AWS Lambda. Ernest and James also explore how AI can accelerate IaC workflows and how IaC supports security and compliance objectives. Check out this course to gain the knowledge you need to start implementing an infrastructure as code strategy.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/devops-professional-certificate-by-pagerduty-and-linkedin?u=104"" target=""_blank"">Professional Certificate</a> from PagerDuty.</p>",Course,2025-07-24 00:36 UTC,N/A,true,N/A,
Nano Tips to Ditch Self-Doubt with Shade Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to overcome self-doubt and leverage a growth mindset, following advice and practical, easy-to-apply insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Discover strategies to manage self-doubt as a sign of progress, build confidence, and visualize outcomes while preparing for complex challenges. Learn to embrace discomfort for growth, counteract anxiety with intentional actions, and focus on personal progress by letting go of perfection. Along the way, Shadé shares techniques to help you control your mental narrative, identify self-doubt, and build empathy and self-compassion by focusing on positive traits in others.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2026-05-16 15:27 UTC,N/A,false,N/A,
"Playwright Essential Training: Abstractions, Fixtures, and Complex Scenarios","Playwright is a newer tool that has joined the ranks of Cypress and Selenium in open-source automation tooling. Playwright works right out of the box, and its comprehensive feature set allows testers and developers to quickly create new test automation projects without having to rely on combining multiple libraries and tools together. Whether you are a manual tester looking to dip your toes into test automation or a seasoned test automation engineer, check out this course to get hands-on experience with the top features that make Playwright a great choice for your automated tests. Instructor Butch Mayhew takes you through some advanced features and covers best practices for writing, running, and maintaining tests as you scale with Playwright.",Course,2026-04-09 11:50 UTC,N/A,true,N/A,
C# and .NET Essential Training,"Microsoft .NET is a modern, cross-platform framework for developing applications for the web, desktop, and mobile devices. This course gives an introduction to some of the features of .NET that makes building applications easier, more performant, and more productive. Veteran technologist Joe Marini demonstrates how to use built-in capabilities of .NET such as string processing, data collection types, number and date formatting, reading and writing files, and even working with regular expressions. Joe also introduces hands-on code challenges to help you practice what you learn. By using these built-in features, you can focus more on your core application logic and less on having to build common capabilities from scratch.",Course,2026-06-07 15:59 UTC,N/A,false,N/A,
Playwright Python and Pytest for Web Automation Testing: Master Modern Web Testing with Playwright and Pytest in Python,"Unlock the full potential of web automation testing using Playwright and Pytest in Python. This course takes you from installation and setup to advanced testing workflows, guiding you through browser automation, UI interaction, and reliable locator strategies. Learn how to simulate real-world user actions, manage asynchronous events, and validate application behavior through dynamic and robust tests. With extensive Pytest integration, you'll structure scalable test suites using fixtures, scopes, and reusable components. Explore file uploads, keyboard events, event listeners, and assertions with hands-on examples. Build advanced frameworks using the Page Object Model, handle authentication scenarios, and test network and API flows effectively. You’ll also optimize performance through parallel test execution, request interception, and JavaScript disabling. Implement CI/CD automation with GitHub Actions, apply data-driven techniques with pytest.mark.parametrize, and dive into BDD workflows using Behave. Designed for technical professionals, this course helps you conquer modern testing processes with practical, maintainable, and production-ready code.",Course,2026-05-20 02:31 UTC,N/A,false,N/A,
Test Automation Foundations,"<p>Automated testing relies on scripting and frameworks like Selenium to prove that products work as expected. Test automation is an enormous time-saver, and it's crucial to continuous integration, continuous delivery, and agile software development. If you're employed in QA, DevOps, or IT, you need to know the basics. This course covers the foundations of test automation, as well as different strategies for implementation. QA engineer Meaghan Lewis explains what kinds of tests to use, how to choose the right test tools, and how to plan and execute test automation projects. She also describes strategies to maintain automation over time: adding new tests, updating old tests, and resolving failures. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/lambdatest-test-automation-professional-certificate"" target=""_blank"">Professional Certificate</a> from LambdaTest.</p>",Course,2022-05-18 10:15 UTC,N/A,true,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-05-08 04:38 UTC,N/A,false,N/A,
Testing in React with Vitest,"This course guides you through the process of setting up and testing web applications using Vitest integrated with the React Testing Library and other essential libraries. Learn how to set up a React app with Vite, install dependencies, and initialize your project, as you explore the basics of Vitest and how it can fit into your testing strategy with instructor Cyrus Ndirangu. Configure ESLint and Prettier to maintain code quality and style consistency, before you get started with your first unit test. Progressively, discover best practices for testing application state and hooks quickly and efficiently. By the end of the course, you’ll be ready to write tests that validate your application's functionality, including testing mock API requests and ensuring correct routing using the React Router. With practical examples and expert guidance throughout, this course shows you why testing is so crucial and how to use it to improve your development workflow.",Course,2026-06-01 15:07 UTC,N/A,false,N/A,
Analyzing VoIP Traffic with Wireshark,"Voice over IP (VoIP) is a technology that sends voice data in packets using the IP network—allowing you to make calls using an internet connection instead of a traditional phone line. In this course, join Lisa Bock as she takes an in-depth look at VoIP protocols and components, as well as how to troubleshoot VoIP calls. Lisa begins with an overview of VoIP, discussing its uses, codecs, and components. She then reviews the protocols that make VoIP possible, including TCP/IP, RTP, SIP, Skinny, and the H.323 family. She provides a review of media gateways and network operations, including quality of service and DNS, that are critical to the success of VoIP. To wrap up, Lisa dives into Wireshark statistics, showing how to leverage these statistics to troubleshoot VoIP, such as Service Response Time, VOIP calls, and RTP Stream Analysis.",Course,2026-05-04 16:17 UTC,N/A,false,N/A,
Agile Project Management with Jira Cloud: 3 Advanced Topics,"<p>This third and final course in the <i>Agile Project Management with Jira Cloud</i> series covers advanced topics like how to use filters, identify and classify epics, and how to use dashboards. After you explore these new topics, see how to put it all together: review the Jira tools and workflows, and use them to create classic and next-gen kanban projects in Jira.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/atlassian-agile-project-management-professional-certificate"" >Professional Certificate</a> from Atlassian.</p>",Course,2023-03-22 16:38 UTC,N/A,false,N/A,
Playwright: Design Patterns,"In this course, learn how to leverage design patterns to enhance your test automation framework using Playwright. By understanding and implementing patterns such as the Page Object Model, fixtures, and data-driven testing, you'll be able to write cleaner, more maintainable, and scalable test scripts. This course is designed for test automation engineers and developers who want to improve their testing skills and ensure their tests are robust and easy to maintain. Through practical examples and hands-on exercises, gain the knowledge and skills needed to apply these design patterns effectively in your projects.",Course,2026-05-11 20:33 UTC,N/A,false,N/A,
Project Management with Microsoft Copilot,"Unlock the potential of Microsoft Copilot to streamline your project management tasks and boost efficiency. Taught by certified Project Management Professional and Microsoft MVP Cindy M. Lewis, this course is designed to equip project managers with skills to leverage Copilot seamlessly in daily workflows. Cindy provides practical, actionable tips for everything from generating clear project scope documents and effective communication plans to streamlining stakeholder reporting. Learn how to develop detailed project timelines, manage risks, and create compelling status reports. Harness the power of Copilot to stay on top of project discussions, identify data trends, and even get ideas to keep your team motivated and engaged.",Course,2025-07-07 12:51 UTC,N/A,false,N/A,
Advanced ASP.NET Core: Unit Testing,"No developer wants to turn in buggy code. Unit testing is a highly efficient way to ensure that everything in your app is working by design before it's launched into production. In this course, learn how to write automated tests for your personal or commercial ASP.NET Core apps. Instructor Ervis Trupja details how to unit test ASP.NET Core console, Web API, and MVC apps. Ervis begins by providing a general overview of application testing strategies, as well as how to determine which unit testing framework is right for you. Then, he steps through how to set up and test ASP.NET Core console, Web API, and MVC apps, providing challenges along the way that allow you to put your new skills to the test.",Course,2026-05-25 11:42 UTC,N/A,false,N/A,
Performance Testing Foundations,"Slow loading times can drive users away from even the most elegant website or application. But how can you pinpoint where your product's performance issues lie? In this course, join Dave Westerveld as he details the fundamentals of performance testing, including when and how to use the different types of tests and tools at your disposal. Discover how to determine what to measure and how to monitor the results of your tests. Explore the different types of performance testing—including load, stress, and scalability tests—and the contexts in which it's appropriate to use each of them. Plus, learn about a broad set of tools and how to pick the right one for the work you need to do.",Course,2026-04-26 12:55 UTC,N/A,false,N/A,
Learning Playwright,"It’s no surprise that Playwright has joined the ranks of other top-rated open-source automation tools. Playwright’s comprehensive feature set allows testers and developers to quickly create new test automation projects without having to combine multiple libraries and other tools. Whether you’re a manual tester, a quality assurance specialist, a software developer, or a seasoned automation engineer, this course offers hands-on, practical experience with using some of the most important features of Playwright. Join instructor Butch Mayhew as he takes you through the essentials and prepares you to start writing, running, analyzing, and debugging your first test.",Course,2025-07-23 12:25 UTC,N/A,false,N/A,
Integrating Azure DevOps with GitHub,"DevOps combines people, processes, and technologies to continuously deliver valuable products and services that meet end user needs and business objectives within the shortest possible time. Integrating Azure DevOps and GitHub provides more features for an organization to track the progress of a project, comply with industry standards, and manage code distribution and deployment. In this course, Prince Mokut explores how agile teams can integrate their GitHub repositories with Azure DevOps to leverage services like Azure Boards for project management and Azure Pipelines for continuous integration and delivery of your software. Prince starts by reviewing high-level functions of Azure DevOps and services, then covers how to customize dashboards, secure pipelines, and integrate tools from the Azure DevOps marketplace. After this course, you’ll have knowledge to help your team take advantage of this integration and seamlessly manage large software projects in your organization.",Course,2026-05-03 15:47 UTC,N/A,false,N/A,
Software Testing Foundations: Test Planning,"The moment a product is placed on the roadmap, test managers must begin to strategize, calculate, and prepare for testing. The scope and execution of these tests is often defined by the size and impact of a product release. Whether it's leveraging past product testing or moving into an entirely new product line, you have to plan ahead to ensure that you mitigate issues while delivering a thorough and thoughtful test. This course provides testers and QA leads with the foundational knowledge they need to launch a successful test of a new software application, regardless of scale. Instructor Mike Fine steps through the entire planning process, from evaluating a product, to authoring a plan, to preparing to deliver results.",Course,2026-04-17 16:58 UTC,N/A,false,N/A,
Handling Customer Complaints with Empathy,"<p>Handling customer complaints is a critical skill for maintaining satisfaction and trust. In this course, customer service expert Sara Odirisio demonstrates the importance of addressing complaints with empathy and discovering unresolved issues. From understanding different types of complaints to mastering the appropriate language, posture, and gestures, this course helps you develop the skills required to de-escalate tense situations, offering strategies for active listening, asking the right questions, handling aggressive customers, and more. Sara guides you through a practical five-step process to resolve complaints and shares tips for addressing written complaints and ensuring follow-up. By the end of this course, you’ll be better prepared to navigate customer complaints with empathy, keeping interactions calm, professional, and solution-focused.</p><p>Note: This course was created by Sara Odorisio and CRFT Productions. We are pleased to host this training in our library.</p>",Course,2025-01-31 03:54 UTC,N/A,false,N/A,
Expert Domain-Driven Design (DDD) Implementation in .NET,"This course is aimed at .NET developers and architects interested in applying domain-driven design (DDD) in their projects. Instructor Rodrigo Díaz Concha takes you through the steps for creating a solution for a fictional pet medicine company to show you practical techniques to implement DDD using .NET and C#. Learn about using entities, value objects, aggregates, domain events, and more. This course is ideal for those looking to integrate DDD strategies and tools into their development solutions, as well as for software architects and .NET project stakeholders who want to understand how to implement DDD in their current or future initiatives.",Course,2026-06-05 11:56 UTC,N/A,false,N/A,
Learning Jenkins,"Do you need to automate tasks as part of your software development, system administration, or engineering work? This course introduces you to Jenkins, a highly configurable application used to automate software development and system administration tasks, and helps you build confidence in using it. Jenkins is a key DevOps tool, along with Docker and Git. Instructor Michael Jenkins covers how to set up a personal installation of Jenkins and familiarize yourself with the program’s interface. Next, Michael steps through how to configure your first job in Jenkins.  After you get some experience with jobs, he explains the Jenkins plugin environment and how plugins are used to extend the functionality that Jenkins offers.  Finally, Michael wraps up with detailed instructions on organizing jobs in folders and views, as well as a brief look into creating pipelines as code.",Course,N/A,N/A,true,N/A,
Spring Data,"<p>Are you ready to get up and running with Spring Data 3? In this hands-on coding course, instructor Mary Ellen Bowman guides you through the essential steps of implementing Spring Data JPA features for persisting and querying relational databases. Along the way, get an overview of Spring Data REST, Spring Data MongoDB, and how to leverage reactive repositories that support non-blocking data source drivers—all from directly within your browser.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out “Using GitHub Codespaces"" with this course to learn how to get started.</p>",Course,2025-06-17 01:46 UTC,N/A,false,N/A,
What Is a PMO?,Many businesspeople still don’t understand what a project management office (PMO) is or what it does. Learn about the purpose of a PMO and why it is so important to the success of a modern business in this course with PMP Andy Jordan. Andy compares the different PMO models and identifies the roles a PMO plays in business planning and strategy execution. This brief course can help you apply the concept of a PMO to your own business and identify opportunities to optimize project delivery and achieve better results.,Course,2022-08-01 09:25 UTC,N/A,false,N/A,
Power BI Essential Training (2020),"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2020-11-05 15:41 UTC,N/A,false,N/A,
Learning Jira (Cloud Edition),"<p>Jira was designed to help software development teams manage projects and track bugs and issues. But increasingly, teams in other fields—such as marketing, legal, and finance—are adopting it as well. Want to leverage Jira to track your own work and improve your outcomes and overall performance?</p><p>Tune into this course with Atlassian Certified Jira Administrator Rachel Wright to learn how to get up and running with the latest version of the cloud edition of this powerful project management tool. Rachel shows you how to use Jira to manage your own personal daily tasks and help your organization and team plan their strategic initiatives. Learn how to navigate Jira, work with projects and issues, change user preferences, estimate effort and track time, and create custom views such as filters, dashboards, boards, and more. By the end of this course, you'll be equipped with the core skills and know-how required to get started with Jira right away.</p>",Course,2026-03-03 18:39 UTC,N/A,true,N/A,
